sacre_BLEU	TER	CHRF2
0.76	0.36	0.72
0.42	0.52	0.63
0.38	0.49	0.65
0.16	0.78	0.52
0.21	0.67	0.44
0.35	0.53	0.57
0.24	0.74	0.48
0.34	0.55	0.56
0.00	0.81	0.40
0.38	0.48	0.58
0.73	0.16	0.81
0.86	0.07	0.96
0.56	0.46	0.61
0.00	0.62	0.46
0.44	0.38	0.64
0.34	0.38	0.52
0.48	0.41	0.70
0.29	0.74	0.54
0.18	0.63	0.56
0.43	0.32	0.70
0.52	0.44	0.88
0.34	0.53	0.66
0.38	0.46	0.64
0.42	0.40	0.62
0.22	0.68	0.49
0.49	0.45	0.72
0.22	0.63	0.52
0.32	0.57	0.60
0.20	0.76	0.44
0.14	0.76	0.47
0.18	0.81	0.36
0.16	0.69	0.49
0.41	0.45	0.56
0.40	0.44	0.54
0.00	0.74	0.41
0.00	0.86	0.36
0.00	0.64	0.36
0.00	0.55	0.49
0.33	0.47	0.49
0.00	0.40	0.63
0.40	0.35	0.75
0.00	1.00	0.39
0.52	0.41	0.67
0.00	0.40	0.63
0.11	0.84	0.37
0.33	0.49	0.55
0.00	0.73	0.40
0.62	0.42	0.75
0.23	0.68	0.40
0.56	0.24	0.80
0.00	0.90	0.40
0.26	0.60	0.52
1.00	0.00	1.00
0.86	0.24	0.91
0.32	0.49	0.69
0.25	0.92	0.48
0.58	0.44	0.61
0.77	0.26	0.53
0.39	0.81	0.53
0.00	0.65	0.47
0.38	0.63	0.53
0.27	0.50	0.59
1.00	0.21	0.84
0.27	0.78	0.35
0.00	0.71	0.26
0.45	0.52	0.58
0.36	0.49	0.57
0.37	0.51	0.53
0.26	0.68	0.42
0.36	0.58	0.55
0.49	0.55	0.68
0.39	0.42	0.51
0.35	0.83	0.47
0.78	0.24	0.75
0.35	0.43	0.54
0.54	0.32	0.69
0.36	0.45	0.61
0.00	0.93	0.40
0.40	0.51	0.62
0.62	0.45	0.74
0.51	0.43	0.81
0.30	0.50	0.62
0.27	0.75	0.59
0.49	0.32	0.61
0.51	0.49	0.65
0.29	0.56	0.60
0.71	0.15	0.82
0.32	0.57	0.56
0.60	0.13	0.89
1.00	0.00	1.00
0.00	0.75	0.42
