COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.051	0.049
0.053	0.064
0.054	0.048
0.046	0.039
0.050	0.049
0.054	0.053
0.058	0.054
0.043	0.040
0.031	0.029
0.032	0.027
0.048	0.046
0.060	0.052
0.051	0.052
0.057	0.059
0.046	0.050
0.046	0.045
0.045	0.044
0.032	0.036
0.047	0.046
0.050	0.051
0.040	0.041
0.047	0.048
0.034	0.035
0.060	0.059
0.039	0.040
0.041	0.041
0.055	0.054
0.052	0.055
0.031	0.034
0.036	0.037
0.049	0.047
0.032	0.033
0.037	0.041
0.027	0.027
0.043	0.046
0.047	0.050
0.038	0.039
0.054	0.049
0.042	0.035
0.052	0.046
0.038	0.036
0.041	0.036
0.041	0.041
0.061	0.064
0.028	0.028
0.053	0.049
0.042	0.047
0.033	0.034
0.033	0.035
0.046	0.050
0.026	0.029
0.044	0.044
0.060	0.058
0.055	0.057
0.038	0.042
0.050	0.050
0.057	0.059
0.057	0.055
0.052	0.051
0.046	0.045
0.053	0.046
0.057	0.054
0.058	0.053
0.019	0.020
0.025	0.022
0.031	0.029
0.037	0.033
0.035	0.035
0.025	0.026
0.025	0.022
0.041	0.042
0.042	0.043
0.054	0.051
0.049	0.049
0.040	0.039
0.042	0.041
0.022	0.023
0.039	0.043
0.034	0.034
0.044	0.048
0.051	0.053
0.031	0.033
0.040	0.037
0.041	0.043
0.043	0.042
0.047	0.048
0.058	0.064
0.022	0.022
0.037	0.036
0.049	0.050
0.055	0.052
0.013	0.017
0.043	0.054
0.041	0.040
0.041	0.040
0.033	0.033
0.043	0.044
0.046	0.045
0.047	0.047
0.047	0.048
0.054	0.053
0.048	0.047
0.057	0.048
0.050	0.046
0.051	0.045
0.050	0.048
0.046	0.044
0.044	0.046
0.039	0.037
0.035	0.034
0.046	0.042
0.046	0.042
0.018	0.016
0.039	0.039
0.047	0.041
0.047	0.047
0.030	0.030
0.038	0.035
0.045	0.042
0.033	0.034
0.030	0.034
0.052	0.056
0.051	0.055
0.030	0.034
0.046	0.046
0.043	0.047
0.039	0.037
0.048	0.040
0.048	0.057
0.060	0.063
0.033	0.036
0.030	0.043
0.041	0.042
0.041	0.057
0.018	0.023
0.065	0.066
0.041	0.042
0.034	0.036
0.042	0.047
0.054	0.065
0.054	0.054
0.054	0.058
0.051	0.053
0.047	0.051
0.049	0.050
0.040	0.038
0.028	0.025
0.054	0.060
0.044	0.038
0.035	0.034
0.045	0.042
0.024	0.025
0.057	0.054
0.033	0.036
0.029	0.029
0.024	0.026
0.050	0.048
0.040	0.038
0.063	0.057
0.042	0.044
0.043	0.037
0.073	0.070
0.051	0.049
0.014	0.011
0.050	0.044
0.043	0.042
0.044	0.043
0.032	0.034
0.049	0.042
0.063	0.067
0.044	0.050
0.038	0.039
0.042	0.050
0.033	0.036
0.062	0.060
0.052	0.050
0.053	0.056
0.056	0.046
0.050	0.055
0.046	0.045
0.060	0.052
0.050	0.049
0.061	0.055
0.051	0.050
0.038	0.039
0.035	0.031
0.064	0.059
0.060	0.057
0.052	0.048
0.051	0.052
0.042	0.041
0.045	0.046
0.038	0.039
0.046	0.052
0.032	0.033
0.041	0.047
0.031	0.031
0.032	0.035
0.040	0.044
0.041	0.047
0.042	0.045
0.034	0.038
0.042	0.036
0.037	0.035
0.020	0.018
0.016	0.016
0.002	0.001
0.022	0.020
0.039	0.032
0.030	0.029
0.037	0.033
0.022	0.017
0.021	0.023
0.026	0.023
0.028	0.028
0.027	0.025
0.022	0.022
0.038	0.046
0.021	0.022
0.006	0.009
0.011	0.012
0.021	0.020
0.003	0.007
0.017	0.022
0.026	0.027
0.002	0.004
0.026	0.028
0.053	0.053
0.039	0.041
0.045	0.049
0.057	0.056
0.047	0.049
0.044	0.042
0.040	0.038
0.036	0.039
0.032	0.032
0.060	0.061
0.056	0.051
0.034	0.031
0.039	0.045
0.022	0.024
0.040	0.035
0.056	0.051
0.053	0.049
0.032	0.032
0.050	0.048
0.066	0.067
0.028	0.027
0.066	0.066
0.050	0.051
0.074	0.072
0.028	0.028
0.020	0.017
0.027	0.029
0.009	0.007
0.010	0.011
0.010	0.007
0.030	0.030
0.014	0.015
0.029	0.024
0.028	0.028
0.033	0.029
0.028	0.028
0.028	0.027
0.004	-0.000
0.030	0.029
0.035	0.032
0.040	0.040
0.048	0.044
0.017	0.021
0.036	0.036
0.039	0.043
0.033	0.031
0.031	0.030
0.046	0.047
0.021	0.025
0.050	0.052
0.039	0.042
0.043	0.040
0.025	0.031
0.041	0.036
0.044	0.042
0.047	0.048
0.050	0.048
0.044	0.049
0.054	0.058
0.056	0.052
0.058	0.053
0.061	0.053
0.035	0.037
0.043	0.042
0.029	0.030
0.027	0.029
0.041	0.043
0.049	0.049
0.043	0.045
0.041	0.041
0.060	0.054
0.055	0.056
0.027	0.029
0.046	0.044
0.031	0.042
0.013	0.017
0.051	0.052
0.018	0.022
0.067	0.062
0.055	0.059
0.062	0.064
0.049	0.048
0.038	0.037
0.052	0.053
0.039	0.040
0.067	0.068
0.070	0.064
0.060	0.061
0.052	0.049
0.048	0.045
0.055	0.054
0.049	0.050
0.061	0.060
0.068	0.066
0.039	0.041
0.060	0.055
0.055	0.054
0.050	0.046
0.024	0.025
0.043	0.041
0.043	0.044
0.042	0.039
0.041	0.033
0.048	0.042
0.032	0.032
0.038	0.035
0.044	0.043
0.060	0.055
0.042	0.035
0.036	0.036
0.044	0.043
0.038	0.035
0.043	0.040
0.032	0.032
0.031	0.027
0.025	0.018
0.043	0.045
0.060	0.045
0.052	0.047
0.040	0.042
0.042	0.037
0.046	0.044
0.050	0.045
0.052	0.051
0.054	0.055
0.052	0.055
0.046	0.044
0.035	0.040
0.047	0.046
0.047	0.048
0.045	0.043
0.066	0.070
0.051	0.047
0.045	0.044
0.048	0.048
0.045	0.043
0.042	0.044
0.052	0.051
0.051	0.043
0.045	0.044
0.048	0.048
0.042	0.041
0.068	0.062
0.042	0.044
0.037	0.038
0.037	0.034
0.048	0.047
0.055	0.059
0.053	0.051
0.038	0.032
0.067	0.065
0.043	0.043
0.058	0.057
0.033	0.032
0.048	0.043
0.056	0.066
0.051	0.050
0.029	0.029
0.025	0.024
0.025	0.024
0.027	0.029
0.043	0.044
0.032	0.029
0.040	0.040
0.028	0.027
0.030	0.028
0.046	0.043
0.055	0.055
0.042	0.036
0.029	0.033
0.023	0.022
0.041	0.040
0.023	0.024
0.032	0.032
0.013	0.011
0.011	0.011
0.021	0.019
0.035	0.030
0.028	0.024
0.016	0.013
0.047	0.042
0.029	0.020
0.022	0.023
0.049	0.049
0.051	0.051
0.049	0.040
0.053	0.052
0.037	0.038
0.054	0.054
0.051	0.056
0.053	0.052
0.044	0.043
0.028	0.036
0.024	0.026
0.037	0.037
0.030	0.032
0.053	0.053
0.030	0.030
0.031	0.039
0.028	0.023
0.054	0.055
0.028	0.030
0.033	0.039
0.042	0.044
0.051	0.050
0.035	0.036
0.043	0.042
0.048	0.053
0.050	0.050
0.028	0.027
0.024	0.022
0.049	0.049
0.036	0.039
0.019	0.021
0.038	0.040
0.042	0.045
0.060	0.060
0.029	0.033
0.038	0.042
0.029	0.028
0.039	0.039
0.039	0.044
0.024	0.026
0.042	0.044
0.027	0.026
0.018	0.020
0.046	0.046
0.047	0.053
0.024	0.024
0.047	0.053
0.038	0.040
0.049	0.047
0.051	0.046
0.063	0.064
0.041	0.041
0.040	0.038
0.049	0.044
0.050	0.052
0.035	0.032
0.060	0.052
0.038	0.038
0.020	0.020
0.029	0.031
0.051	0.052
0.018	0.019
0.035	0.035
0.043	0.042
0.040	0.033
0.043	0.043
0.045	0.046
0.045	0.046
0.053	0.056
0.034	0.035
0.034	0.037
0.035	0.035
0.023	0.027
0.015	0.015
0.014	0.014
0.032	0.035
0.046	0.046
0.043	0.042
0.047	0.042
0.044	0.037
0.036	0.036
0.022	0.019
0.033	0.030
0.049	0.054
0.039	0.044
0.041	0.037
0.035	0.040
0.034	0.034
0.048	0.041
0.037	0.035
0.037	0.039
0.050	0.048
0.049	0.045
0.047	0.047
0.054	0.049
0.054	0.052
0.039	0.040
0.026	0.026
0.040	0.040
0.040	0.040
0.035	0.033
0.046	0.042
0.057	0.058
0.053	0.052
0.025	0.027
0.052	0.054
0.063	0.066
0.026	0.031
0.059	0.047
0.022	0.024
0.041	0.049
0.053	0.044
0.072	0.045
0.040	0.039
0.028	0.030
0.037	0.038
0.032	0.039
0.044	0.043
0.036	0.036
0.027	0.023
0.057	0.066
0.029	0.029
0.025	0.031
0.033	0.033
0.010	0.010
0.036	0.034
0.031	0.032
0.047	0.034
