COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.051	0.051
0.052	0.060
0.055	0.049
0.047	0.041
0.051	0.050
0.055	0.054
0.058	0.054
0.047	0.044
0.030	0.032
0.029	0.025
0.052	0.048
0.060	0.052
0.047	0.049
0.057	0.059
0.043	0.046
0.045	0.047
0.046	0.044
0.031	0.034
0.048	0.047
0.050	0.051
0.040	0.041
0.047	0.047
0.038	0.039
0.060	0.059
0.037	0.038
0.042	0.041
0.055	0.055
0.052	0.055
0.026	0.028
0.034	0.035
0.049	0.046
0.034	0.035
0.037	0.040
0.028	0.028
0.047	0.048
0.048	0.052
0.038	0.039
0.054	0.049
0.045	0.035
0.053	0.046
0.038	0.036
0.039	0.035
0.039	0.038
0.062	0.064
0.032	0.030
0.053	0.049
0.043	0.045
0.033	0.034
0.033	0.035
0.046	0.050
0.026	0.029
0.043	0.044
0.060	0.058
0.055	0.057
0.045	0.042
0.050	0.050
0.058	0.063
0.055	0.052
0.055	0.054
0.046	0.044
0.053	0.046
0.057	0.054
0.057	0.053
0.019	0.020
0.023	0.027
0.033	0.030
0.035	0.032
0.036	0.036
0.026	0.027
0.018	0.017
0.044	0.044
0.042	0.043
0.055	0.052
0.049	0.049
0.043	0.042
0.044	0.043
0.027	0.028
0.037	0.040
0.030	0.030
0.044	0.048
0.051	0.053
0.030	0.032
0.041	0.038
0.041	0.042
0.043	0.041
0.047	0.048
0.058	0.064
0.023	0.024
0.044	0.040
0.049	0.050
0.056	0.057
0.013	0.017
0.043	0.054
0.040	0.040
0.041	0.040
0.033	0.033
0.046	0.045
0.045	0.046
0.046	0.045
0.047	0.048
0.054	0.053
0.048	0.047
0.057	0.048
0.052	0.047
0.051	0.046
0.052	0.050
0.047	0.045
0.044	0.046
0.039	0.037
0.034	0.034
0.048	0.044
0.046	0.042
0.012	0.010
0.039	0.039
0.050	0.044
0.047	0.047
0.030	0.029
0.038	0.035
0.045	0.042
0.051	0.055
0.033	0.036
0.052	0.056
0.051	0.055
0.027	0.029
0.040	0.040
0.038	0.041
0.040	0.038
0.044	0.037
0.042	0.052
0.060	0.063
0.037	0.039
0.030	0.043
0.034	0.034
0.041	0.057
0.019	0.024
0.065	0.066
0.043	0.044
0.035	0.037
0.044	0.051
0.054	0.065
0.054	0.054
0.054	0.058
0.048	0.050
0.047	0.052
0.047	0.049
0.042	0.040
0.029	0.027
0.054	0.060
0.044	0.039
0.035	0.034
0.045	0.042
0.024	0.025
0.057	0.054
0.033	0.036
0.033	0.032
0.031	0.034
0.052	0.054
0.051	0.052
0.064	0.057
0.043	0.045
0.043	0.037
0.073	0.070
0.051	0.049
0.015	0.012
0.047	0.046
0.043	0.042
0.046	0.044
0.035	0.037
0.052	0.044
0.063	0.067
0.044	0.050
0.038	0.038
0.042	0.050
0.036	0.038
0.062	0.060
0.052	0.051
0.059	0.053
0.061	0.047
0.051	0.055
0.047	0.041
0.053	0.051
0.050	0.049
0.061	0.055
0.057	0.054
0.038	0.039
0.034	0.030
0.063	0.061
0.062	0.060
0.052	0.048
0.049	0.052
0.041	0.040
0.047	0.051
0.038	0.039
0.046	0.052
0.032	0.033
0.042	0.048
0.045	0.044
0.033	0.035
0.041	0.045
0.041	0.048
0.042	0.045
0.036	0.040
0.042	0.037
0.037	0.035
0.020	0.018
0.021	0.022
0.010	0.008
0.031	0.031
0.041	0.033
0.039	0.037
0.051	0.041
0.022	0.017
0.021	0.022
0.028	0.025
0.027	0.027
0.030	0.026
0.022	0.022
0.040	0.047
0.020	0.021
0.008	0.010
0.013	0.013
0.022	0.021
0.012	0.016
0.020	0.025
0.027	0.028
0.014	0.017
0.029	0.032
0.053	0.054
0.039	0.041
0.045	0.049
0.057	0.060
0.050	0.052
0.045	0.043
0.040	0.038
0.036	0.039
0.049	0.049
0.060	0.061
0.054	0.051
0.044	0.053
0.039	0.045
0.030	0.033
0.040	0.035
0.053	0.053
0.053	0.049
0.044	0.044
0.050	0.048
0.060	0.062
0.031	0.029
0.066	0.066
0.050	0.051
0.074	0.072
0.030	0.033
0.027	0.022
0.016	0.018
0.029	0.026
0.025	0.027
0.011	0.009
0.031	0.031
0.023	0.027
0.037	0.038
0.036	0.035
0.048	0.042
0.036	0.037
0.031	0.036
0.022	0.021
0.033	0.033
0.031	0.030
0.040	0.040
0.047	0.043
0.017	0.021
0.037	0.036
0.039	0.043
0.034	0.035
0.029	0.028
0.039	0.043
0.028	0.030
0.050	0.052
0.037	0.038
0.041	0.038
0.025	0.031
0.041	0.036
0.044	0.042
0.048	0.047
0.049	0.048
0.046	0.054
0.054	0.058
0.056	0.052
0.055	0.053
0.061	0.053
0.035	0.037
0.043	0.042
0.028	0.029
0.052	0.052
0.041	0.043
0.055	0.052
0.043	0.045
0.039	0.039
0.060	0.054
0.057	0.053
0.022	0.023
0.045	0.043
0.030	0.041
0.022	0.024
0.050	0.052
0.025	0.028
0.067	0.062
0.060	0.057
0.062	0.064
0.050	0.047
0.038	0.037
0.053	0.054
0.058	0.059
0.066	0.071
0.070	0.064
0.060	0.059
0.053	0.047
0.048	0.045
0.058	0.057
0.049	0.050
0.056	0.055
0.068	0.066
0.035	0.035
0.064	0.058
0.059	0.055
0.050	0.046
0.037	0.038
0.042	0.039
0.042	0.043
0.042	0.039
0.041	0.034
0.048	0.043
0.041	0.041
0.035	0.033
0.045	0.045
0.060	0.055
0.039	0.033
0.036	0.035
0.044	0.043
0.038	0.036
0.041	0.039
0.034	0.034
0.033	0.029
0.029	0.023
0.046	0.048
0.060	0.045
0.054	0.049
0.044	0.047
0.046	0.040
0.045	0.044
0.050	0.045
0.056	0.054
0.057	0.058
0.053	0.054
0.048	0.046
0.035	0.039
0.047	0.046
0.047	0.048
0.044	0.042
0.066	0.070
0.054	0.050
0.055	0.052
0.045	0.044
0.045	0.044
0.042	0.044
0.051	0.050
0.052	0.046
0.045	0.044
0.055	0.053
0.042	0.041
0.069	0.061
0.045	0.049
0.039	0.039
0.037	0.033
0.048	0.047
0.055	0.059
0.054	0.052
0.034	0.030
0.069	0.066
0.044	0.043
0.058	0.057
0.033	0.032
0.048	0.044
0.056	0.066
0.051	0.050
0.032	0.032
0.031	0.029
0.022	0.021
0.036	0.038
0.043	0.043
0.033	0.030
0.039	0.041
0.035	0.035
0.032	0.030
0.046	0.043
0.055	0.055
0.042	0.036
0.031	0.036
0.023	0.023
0.041	0.040
0.024	0.025
0.031	0.030
0.013	0.011
0.011	0.011
0.029	0.025
0.037	0.032
0.044	0.037
0.017	0.013
0.046	0.041
0.033	0.026
0.023	0.024
0.049	0.049
0.051	0.050
0.048	0.040
0.052	0.053
0.039	0.040
0.054	0.054
0.054	0.058
0.054	0.052
0.048	0.046
0.028	0.036
