COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.053	0.050
0.053	0.062
0.054	0.049
0.046	0.042
0.051	0.050
0.054	0.053
0.057	0.053
0.041	0.041
0.034	0.039
0.030	0.027
0.049	0.045
0.060	0.052
0.048	0.049
0.057	0.059
0.040	0.043
0.044	0.045
0.047	0.046
0.031	0.036
0.050	0.049
0.053	0.056
0.054	0.054
0.049	0.050
0.036	0.035
0.061	0.059
0.045	0.047
0.040	0.039
0.055	0.052
0.051	0.057
0.034	0.035
0.035	0.036
0.045	0.044
0.036	0.034
0.035	0.032
0.029	0.028
0.042	0.045
0.046	0.049
0.038	0.039
0.049	0.052
0.043	0.036
0.052	0.046
0.036	0.036
0.040	0.036
0.046	0.045
0.061	0.064
0.027	0.027
0.040	0.036
0.040	0.047
0.034	0.031
0.028	0.030
0.054	0.049
0.031	0.026
0.046	0.039
0.051	0.052
0.055	0.057
0.040	0.039
0.052	0.053
0.053	0.056
0.058	0.055
0.048	0.046
0.051	0.048
0.053	0.047
0.054	0.051
0.058	0.053
0.019	0.021
0.018	0.023
0.029	0.025
0.036	0.032
0.038	0.037
0.021	0.023
0.025	0.023
0.043	0.043
0.043	0.043
0.055	0.053
0.049	0.049
0.040	0.042
0.037	0.038
0.016	0.019
0.042	0.045
0.032	0.033
0.046	0.045
0.051	0.053
0.027	0.030
0.040	0.037
0.041	0.042
0.046	0.044
0.050	0.053
0.058	0.064
0.026	0.026
0.040	0.046
0.054	0.059
0.056	0.053
0.013	0.017
0.024	0.027
0.042	0.042
0.041	0.040
0.033	0.033
0.042	0.041
0.042	0.042
0.042	0.042
0.047	0.047
0.048	0.049
0.049	0.048
0.053	0.047
0.048	0.047
0.051	0.046
0.047	0.045
0.050	0.047
0.042	0.044
0.040	0.038
0.038	0.037
0.047	0.043
0.044	0.041
0.012	0.010
0.038	0.039
0.047	0.042
0.043	0.043
0.040	0.038
0.039	0.036
0.033	0.030
0.049	0.053
0.033	0.037
0.052	0.056
0.052	0.055
0.043	0.046
0.041	0.041
0.037	0.041
0.041	0.040
0.046	0.038
0.047	0.055
0.056	0.059
0.028	0.030
0.032	0.051
0.041	0.042
0.039	0.054
0.023	0.025
0.065	0.066
0.044	0.043
0.044	0.041
0.044	0.047
0.054	0.065
0.054	0.054
0.056	0.061
0.051	0.057
0.047	0.051
0.030	0.031
0.042	0.040
0.029	0.027
0.056	0.063
0.045	0.041
0.037	0.036
0.045	0.042
0.023	0.024
0.057	0.054
0.033	0.036
0.033	0.032
0.030	0.032
0.053	0.054
0.049	0.050
0.064	0.057
0.040	0.044
0.039	0.034
0.073	0.070
0.053	0.048
0.015	0.013
0.049	0.045
0.044	0.043
0.043	0.041
0.020	0.021
0.055	0.044
0.060	0.060
0.043	0.050
0.030	0.035
0.042	0.048
0.035	0.038
0.062	0.060
0.050	0.048
0.059	0.053
0.059	0.046
0.047	0.053
0.047	0.045
0.057	0.052
0.050	0.051
0.061	0.055
0.058	0.053
0.040	0.039
0.034	0.030
0.063	0.061
0.061	0.057
0.052	0.048
0.049	0.050
0.043	0.041
0.045	0.046
0.037	0.038
0.048	0.052
0.033	0.033
0.041	0.047
0.043	0.042
0.034	0.035
0.040	0.043
0.039	0.046
0.042	0.048
0.037	0.041
0.041	0.039
0.041	0.039
0.017	0.015
0.018	0.019
0.011	0.009
0.024	0.021
0.043	0.035
0.035	0.033
0.052	0.041
0.028	0.025
0.018	0.021
0.027	0.024
0.023	0.023
0.032	0.027
0.021	0.020
0.039	0.046
0.016	0.017
0.005	0.008
0.012	0.013
0.023	0.021
0.006	0.011
0.024	0.028
0.030	0.029
0.014	0.017
0.030	0.033
0.053	0.053
0.043	0.042
0.050	0.056
0.052	0.056
0.049	0.053
0.044	0.042
0.039	0.037
0.030	0.028
0.036	0.036
0.062	0.070
0.054	0.050
0.042	0.049
0.038	0.045
0.033	0.036
0.038	0.035
0.057	0.049
0.051	0.050
0.048	0.048
0.048	0.046
0.070	0.067
0.027	0.026
0.066	0.066
0.049	0.050
0.074	0.072
0.029	0.031
0.018	0.014
0.025	0.027
0.029	0.026
0.019	0.019
0.016	0.016
0.034	0.033
0.022	0.025
0.036	0.033
0.039	0.037
0.043	0.038
0.030	0.030
0.029	0.030
0.019	0.016
0.038	0.038
0.030	0.028
0.032	0.037
0.046	0.043
0.038	0.040
0.034	0.034
0.038	0.038
0.034	0.035
0.030	0.029
0.041	0.040
0.030	0.033
0.041	0.041
0.038	0.037
0.041	0.038
0.022	0.024
0.044	0.040
0.043	0.041
0.045	0.044
0.051	0.049
0.051	0.046
0.055	0.060
0.056	0.052
0.056	0.052
0.061	0.052
0.036	0.037
0.042	0.041
0.027	0.028
0.048	0.049
0.043	0.043
0.050	0.053
0.038	0.038
0.050	0.053
0.056	0.051
0.056	0.053
0.023	0.023
0.040	0.047
0.033	0.043
0.019	0.023
0.045	0.047
0.023	0.026
0.067	0.062
0.055	0.060
0.062	0.064
0.051	0.048
0.040	0.042
0.052	0.055
0.058	0.056
0.066	0.071
0.070	0.064
0.061	0.071
0.059	0.055
0.048	0.045
0.057	0.056
0.054	0.058
0.058	0.057
0.068	0.066
0.037	0.038
0.064	0.058
0.055	0.056
0.050	0.046
0.025	0.027
0.043	0.039
0.041	0.042
0.043	0.039
0.040	0.033
0.052	0.047
0.041	0.041
0.037	0.035
0.045	0.044
0.062	0.056
0.038	0.037
0.036	0.034
0.044	0.043
0.038	0.036
0.045	0.043
0.035	0.034
0.034	0.030
0.023	0.019
0.048	0.048
0.065	0.045
0.055	0.049
0.047	0.048
0.045	0.039
0.044	0.042
0.050	0.045
0.058	0.055
0.057	0.058
0.050	0.053
0.048	0.046
0.040	0.047
0.031	0.029
0.051	0.053
0.040	0.038
0.066	0.070
0.052	0.048
0.047	0.046
0.046	0.047
0.043	0.041
0.042	0.044
0.053	0.052
0.052	0.046
0.045	0.044
0.055	0.055
0.040	0.040
0.064	0.065
0.037	0.039
0.048	0.049
0.038	0.035
0.044	0.044
0.052	0.054
0.051	0.048
0.026	0.023
0.066	0.064
0.046	0.045
0.058	0.057
0.036	0.035
0.048	0.044
0.056	0.066
0.051	0.050
0.029	0.029
0.028	0.028
0.028	0.026
0.019	0.024
0.039	0.040
0.036	0.035
0.040	0.042
0.032	0.031
0.036	0.032
0.046	0.043
0.053	0.053
0.043	0.038
0.029	0.033
0.027	0.028
0.036	0.034
0.021	0.021
0.025	0.025
0.011	0.011
0.014	0.016
0.020	0.018
0.038	0.033
0.047	0.041
0.019	0.018
0.048	0.043
0.030	0.021
0.020	0.023
0.049	0.049
0.050	0.050
0.047	0.041
0.051	0.053
0.041	0.040
0.050	0.050
0.053	0.058
0.055	0.053
0.045	0.044
0.034	0.039
0.034	0.035
0.043	0.041
0.032	0.033
0.053	0.053
0.046	0.044
0.031	0.039
0.034	0.026
0.053	0.054
0.031	0.030
0.036	0.040
0.043	0.044
0.048	0.049
0.036	0.037
0.039	0.040
0.047	0.051
0.051	0.053
0.030	0.031
0.024	0.022
0.050	0.055
0.037	0.041
0.028	0.028
0.043	0.045
0.048	0.053
0.061	0.061
0.035	0.039
0.039	0.043
0.036	0.036
0.038	0.037
0.040	0.045
0.036	0.037
0.042	0.043
0.034	0.033
0.030	0.031
0.046	0.046
0.049	0.055
0.031	0.029
0.053	0.059
0.045	0.046
0.051	0.047
0.057	0.048
0.063	0.065
0.043	0.044
0.034	0.032
0.050	0.047
0.050	0.052
0.042	0.042
0.061	0.053
0.040	0.042
0.030	0.028
0.026	0.029
0.048	0.051
0.031	0.031
0.036	0.036
0.042	0.041
0.043	0.034
0.044	0.045
0.045	0.045
0.044	0.043
0.047	0.052
0.038	0.039
0.045	0.047
0.047	0.050
0.032	0.037
0.019	0.017
0.009	0.010
0.033	0.034
0.047	0.048
0.044	0.045
