COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.051	0.048
0.051	0.060
0.054	0.048
0.040	0.035
0.049	0.049
0.055	0.054
0.058	0.054
0.040	0.038
0.033	0.035
0.026	0.026
0.054	0.051
0.051	0.048
0.047	0.048
0.058	0.060
0.037	0.036
0.045	0.046
0.033	0.031
0.030	0.031
0.050	0.049
0.034	0.032
0.033	0.033
0.046	0.046
0.036	0.036
0.060	0.059
0.043	0.042
0.032	0.030
0.054	0.052
0.051	0.057
0.030	0.030
0.026	0.025
0.045	0.043
0.032	0.033
0.039	0.043
0.028	0.027
0.048	0.050
0.048	0.052
0.038	0.039
0.049	0.046
0.045	0.035
0.053	0.046
0.035	0.036
0.042	0.037
0.041	0.040
0.061	0.064
0.026	0.026
0.047	0.045
0.039	0.042
0.034	0.032
0.027	0.029
0.047	0.049
0.026	0.030
0.045	0.040
0.058	0.056
0.055	0.057
0.037	0.040
0.047	0.043
0.054	0.058
0.047	0.046
0.049	0.048
0.040	0.039
0.049	0.044
0.058	0.055
0.058	0.053
0.014	0.017
0.017	0.022
0.030	0.030
0.034	0.030
0.037	0.037
0.019	0.022
0.024	0.023
0.045	0.044
0.042	0.045
0.055	0.051
0.049	0.049
0.043	0.041
0.038	0.038
0.023	0.023
0.040	0.043
0.033	0.033
0.045	0.044
0.047	0.048
0.026	0.029
0.027	0.025
0.041	0.043
0.037	0.036
0.047	0.049
0.058	0.064
0.022	0.022
0.037	0.036
0.052	0.054
0.059	0.061
0.013	0.017
0.024	0.027
0.044	0.043
0.041	0.040
0.034	0.033
0.026	0.027
0.051	0.049
0.047	0.049
0.047	0.049
0.044	0.046
0.049	0.048
0.057	0.048
0.048	0.046
0.035	0.031
0.048	0.047
0.046	0.043
0.042	0.043
0.039	0.036
0.036	0.038
0.044	0.040
0.046	0.041
0.010	0.006
0.036	0.035
0.034	0.029
0.045	0.046
0.040	0.037
0.037	0.034
0.033	0.030
0.045	0.046
0.028	0.031
0.055	0.054
0.050	0.053
0.041	0.044
0.037	0.038
0.043	0.047
0.038	0.033
0.046	0.039
0.036	0.040
0.060	0.063
0.030	0.033
0.026	0.033
0.036	0.038
0.040	0.054
0.023	0.025
0.065	0.066
0.041	0.041
0.041	0.038
0.042	0.047
0.052	0.060
0.053	0.051
0.054	0.060
0.051	0.058
0.048	0.051
0.028	0.029
0.041	0.039
0.026	0.025
0.059	0.059
0.043	0.039
0.030	0.031
0.034	0.030
0.024	0.025
0.059	0.053
0.030	0.030
0.038	0.038
0.021	0.022
0.050	0.048
0.038	0.036
0.064	0.057
0.042	0.044
0.037	0.031
0.073	0.070
0.049	0.047
0.007	0.006
0.050	0.044
0.042	0.042
0.034	0.032
0.019	0.019
0.045	0.044
0.058	0.061
0.044	0.050
0.034	0.038
0.042	0.050
0.035	0.038
0.059	0.058
0.038	0.039
0.054	0.055
0.033	0.034
