BLEURT-20_ref_A	BLEURT-20_ref_B
0.80	0.78
0.72	0.82
0.87	0.70
0.78	0.67
0.74	0.69
0.78	0.84
0.85	0.82
0.70	0.74
0.56	0.63
0.62	0.41
0.84	0.76
0.90	0.83
0.70	0.70
0.81	0.84
0.62	0.70
0.74	0.65
0.78	0.66
0.69	0.66
0.83	0.79
0.80	0.79
0.87	0.88
0.81	0.84
0.68	0.77
0.84	0.87
0.73	0.82
0.76	0.77
0.85	0.79
0.79	0.86
0.64	0.54
0.68	0.68
0.71	0.69
0.69	0.51
0.69	0.64
0.72	0.66
0.75	0.75
0.69	0.80
0.75	0.77
0.86	0.86
0.77	0.55
0.91	0.86
0.77	0.63
0.80	0.77
0.62	0.71
0.82	0.78
0.69	0.60
0.61	0.57
0.78	0.80
0.58	0.49
0.47	0.43
0.86	0.82
0.67	0.58
0.78	0.59
0.92	0.82
0.85	0.88
0.71	0.68
0.81	0.82
0.80	0.82
0.87	0.78
0.66	0.62
0.81	0.73
0.81	0.80
0.83	0.79
0.93	0.87
0.44	0.39
0.34	0.49
0.70	0.57
0.67	0.65
0.70	0.69
0.42	0.47
0.45	0.41
0.79	0.81
0.77	0.78
0.67	0.67
0.78	0.76
0.67	0.75
0.66	0.66
0.42	0.51
0.66	0.73
0.71	0.77
0.82	0.81
0.78	0.84
0.51	0.70
0.78	0.78
0.69	0.82
0.75	0.76
0.79	0.84
0.88	0.87
0.68	0.73
0.62	0.93
0.96	1.01
0.82	0.83
0.48	0.52
0.50	0.66
0.79	0.78
0.80	0.85
0.70	0.81
0.78	0.77
0.77	0.73
0.57	0.56
0.77	0.74
0.67	0.68
0.80	0.73
0.74	0.68
0.83	0.78
0.80	0.63
0.68	0.63
0.78	0.77
0.68	0.81
0.77	0.83
0.73	0.56
0.78	0.70
0.81	0.71
0.51	0.52
0.77	0.73
0.79	0.72
0.81	0.77
0.71	0.64
0.68	0.67
0.65	0.71
0.68	0.76
0.72	0.80
0.79	0.87
0.76	0.85
0.68	0.74
0.77	0.79
0.71	0.85
0.68	0.77
0.81	0.68
0.67	0.85
0.85	0.90
0.64	0.65
0.91	1.00
0.77	0.80
0.79	0.83
0.59	0.64
0.90	0.92
0.79	0.81
0.92	0.87
0.81	0.84
0.80	0.94
0.85	0.86
0.84	0.91
0.69	0.82
0.84	0.89
0.67	0.67
0.75	0.76
0.71	0.64
0.86	0.90
0.82	0.75
0.59	0.48
0.78	0.69
0.66	0.71
0.83	0.79
0.74	0.73
0.61	0.62
0.74	0.67
0.78	0.73
0.73	0.70
0.90	0.84
0.76	0.72
0.69	0.38
0.94	0.90
0.84	0.75
0.53	0.51
0.86	0.79
0.83	0.81
0.71	0.55
0.33	0.35
0.85	0.79
0.86	0.87
0.68	0.81
0.64	0.73
0.77	0.87
0.72	0.78
0.89	0.86
0.75	0.77
0.90	0.84
0.83	0.76
0.78	0.84
0.79	0.71
0.80	0.73
0.79	0.81
0.88	0.80
0.87	0.80
0.83	0.79
0.79	0.71
0.82	0.78
0.75	0.67
0.84	0.76
0.77	0.73
0.80	0.77
0.83	0.87
0.77	0.78
0.79	0.86
0.72	0.72
0.72	0.74
0.79	0.82
0.64	0.73
0.79	0.82
0.69	0.75
