BLEURT-20_ref_A	BLEURT-20_ref_B
0.66	0.70
0.69	0.80
0.89	0.68
0.79	0.70
0.74	0.72
0.81	0.87
0.86	0.82
0.73	0.72
0.52	0.60
0.51	0.34
0.87	0.79
0.90	0.83
0.68	0.69
0.81	0.84
0.50	0.60
0.59	0.57
0.77	0.67
0.69	0.65
0.85	0.81
0.76	0.72
0.80	0.81
0.79	0.82
0.62	0.76
0.85	0.87
0.71	0.77
0.78	0.79
0.77	0.81
0.90	0.81
0.54	0.50
0.73	0.73
0.70	0.69
0.64	0.70
0.65	0.72
0.70	0.68
0.79	0.72
0.67	0.78
0.75	0.77
0.86	0.81
0.79	0.54
0.91	0.86
0.78	0.65
0.77	0.75
0.66	0.76
0.81	0.77
0.74	0.65
0.83	0.76
0.77	0.77
0.58	0.68
0.60	0.54
0.83	0.80
0.64	0.63
0.70	0.73
0.91	0.81
0.86	0.90
0.72	0.71
0.71	0.73
0.82	0.86
0.87	0.73
0.73	0.67
0.80	0.71
0.81	0.79
0.87	0.84
0.91	0.85
0.42	0.40
0.45	0.65
0.71	0.69
0.66	0.65
0.67	0.65
0.42	0.46
0.40	0.36
0.82	0.82
0.73	0.76
0.69	0.69
0.78	0.76
0.73	0.61
0.74	0.73
0.69	0.77
0.58	0.70
0.66	0.69
0.82	0.84
0.78	0.84
0.57	0.76
0.79	0.81
0.69	0.82
0.71	0.71
0.77	0.81
0.88	0.87
0.66	0.71
0.50	0.77
0.93	0.97
0.80	0.80
0.48	0.52
0.85	0.98
0.74	0.71
0.80	0.85
0.77	0.86
0.84	0.81
0.82	0.79
0.75	0.69
0.78	0.74
0.83	0.79
0.78	0.71
0.79	0.72
0.84	0.78
0.80	0.63
0.81	0.73
0.76	0.76
0.78	0.86
0.75	0.79
0.68	0.51
0.75	0.69
0.81	0.73
0.50	0.52
0.77	0.73
0.79	0.67
0.82	0.77
0.44	0.47
0.68	0.67
0.70	0.76
0.74	0.80
0.67	0.78
0.79	0.87
0.77	0.86
0.56	0.62
0.77	0.78
0.69	0.83
0.66	0.77
0.78	0.72
0.62	0.86
0.86	0.94
0.74	0.78
0.89	0.91
0.77	0.81
0.82	0.88
0.55	0.65
0.90	0.92
0.79	0.82
0.80	0.81
0.80	0.87
0.80	0.94
0.83	0.84
0.82	0.85
0.65	0.73
0.82	0.92
0.77	0.75
0.76	0.76
0.64	0.60
0.78	0.87
0.79	0.72
0.59	0.44
0.79	0.71
0.70	0.73
0.83	0.79
0.76	0.74
0.61	0.61
0.71	0.71
0.77	0.70
0.74	0.75
0.90	0.84
0.76	0.71
0.65	0.32
0.94	0.91
0.84	0.72
0.52	0.47
0.83	0.82
0.81	0.79
0.73	0.58
0.43	0.44
0.71	0.62
0.90	0.92
0.72	0.78
0.66	0.68
0.78	0.90
0.69	0.77
0.89	0.86
0.84	0.81
0.90	0.84
0.85	0.76
0.82	0.80
0.83	0.72
0.81	0.75
0.81	0.81
0.88	0.80
0.85	0.79
0.83	0.82
0.81	0.74
0.82	0.78
0.86	0.77
0.83	0.77
0.81	0.79
0.78	0.76
0.84	0.89
0.75	0.78
0.76	0.83
0.73	0.73
0.72	0.74
0.76	0.82
0.66	0.73
0.77	0.81
0.72	0.79
0.81	0.77
0.75	0.79
0.75	0.69
0.79	0.70
0.47	0.38
0.59	0.61
0.41	0.39
0.68	0.60
0.68	0.61
0.68	0.72
0.80	0.66
0.50	0.39
0.50	0.43
0.57	0.53
0.59	0.57
0.68	0.61
0.53	0.48
0.63	0.77
0.65	0.64
0.39	0.44
0.39	0.39
0.71	0.62
0.42	0.54
0.49	0.67
0.57	0.62
0.33	0.54
0.40	0.43
0.69	0.75
0.73	0.78
0.72	0.75
0.88	0.86
0.75	0.85
0.84	0.79
0.88	0.81
0.57	0.74
0.84	0.81
0.89	0.91
0.85	0.74
0.68	0.94
0.79	0.89
0.48	0.49
0.77	0.70
0.84	0.78
0.77	0.64
0.81	0.81
0.86	0.80
0.90	0.85
0.69	0.63
0.96	0.96
0.78	0.81
0.93	0.91
0.69	0.76
0.68	0.66
0.38	0.36
0.71	0.60
0.58	0.57
0.55	0.49
0.67	0.73
0.59	0.65
0.81	0.83
0.70	0.69
0.83	0.74
0.75	0.74
0.55	0.66
0.41	0.41
0.62	0.63
0.61	0.49
0.70	0.55
0.78	0.71
0.61	0.57
0.72	0.72
0.79	0.81
0.63	0.62
0.70	0.66
0.59	0.68
0.38	0.44
0.84	0.85
0.70	0.68
0.75	0.67
0.71	0.56
0.72	0.58
0.67	0.60
0.69	0.73
0.82	0.81
0.87	0.85
0.78	0.87
0.83	0.76
0.79	0.69
0.81	0.77
0.69	0.63
0.75	0.66
0.65	0.70
0.77	0.75
0.70	0.67
0.82	0.79
0.74	0.78
0.73	0.71
0.87	0.82
0.83	0.82
0.58	0.50
0.55	0.71
0.66	0.85
0.59	0.66
0.79	0.79
0.69	0.76
1.01	0.94
0.86	0.81
0.88	0.90
0.90	0.80
0.64	0.60
0.80	0.77
0.81	0.84
0.84	0.91
0.95	0.91
0.84	0.81
0.96	0.84
0.74	0.69
0.86	0.84
0.61	0.62
0.83	0.79
0.90	0.88
0.68	0.62
0.93	0.89
0.95	0.87
0.74	0.77
0.63	0.66
0.69	0.57
0.73	0.74
0.81	0.76
0.81	0.59
0.89	0.78
0.68	0.70
0.75	0.70
0.73	0.75
0.86	0.82
0.71	0.56
0.74	0.71
0.70	0.68
0.77	0.67
0.77	0.70
0.67	0.71
0.72	0.64
0.54	0.51
0.71	0.70
0.89	0.71
0.88	0.85
0.71	0.66
0.80	0.70
0.55	0.66
0.77	0.70
0.82	0.76
0.84	0.83
0.81	0.84
0.76	0.75
0.73	0.76
0.73	0.76
0.68	0.71
0.73	0.75
0.91	0.90
0.77	0.73
0.85	0.78
0.76	0.76
0.63	0.64
0.75	0.72
0.79	0.77
0.89	0.71
0.83	0.82
0.82	0.82
0.78	0.77
0.91	0.89
0.54	0.80
0.51	0.53
0.68	0.66
0.72	0.70
0.76	0.75
0.73	0.70
0.72	0.71
0.92	0.88
0.71	0.73
0.87	0.86
0.64	0.64
0.80	0.80
0.69	0.92
0.80	0.77
0.69	0.71
0.65	0.49
0.65	0.59
0.60	0.65
0.68	0.67
0.62	0.53
0.77	0.80
0.62	0.55
0.68	0.45
0.76	0.79
0.85	0.83
0.79	0.73
0.45	0.50
0.41	0.42
0.75	0.78
0.51	0.53
0.74	0.65
0.68	0.55
0.56	0.48
0.62	0.60
0.67	0.61
0.67	0.52
0.72	0.59
0.82	0.77
0.70	0.54
0.72	0.60
0.76	0.87
0.82	0.85
0.70	0.74
0.81	0.80
0.81	0.83
0.83	0.87
0.82	0.84
0.82	0.80
0.83	0.82
0.57	0.78
0.70	0.70
0.60	0.56
0.68	0.76
0.82	0.81
0.40	0.44
0.56	0.61
0.74	0.64
0.84	0.83
0.64	0.76
0.73	0.82
0.77	0.80
0.81	0.80
0.78	0.80
0.77	0.76
0.80	0.81
0.80	0.81
0.70	0.66
0.49	0.49
0.77	0.76
0.71	0.76
0.56	0.56
0.71	0.77
0.70	0.77
0.89	0.85
0.68	0.79
0.72	0.86
0.50	0.62
0.77	0.80
0.73	0.81
0.57	0.64
0.75	0.82
0.72	0.72
0.60	0.68
0.80	0.88
0.75	0.76
0.63	0.67
0.80	0.78
0.65	0.74
0.80	0.76
0.84	0.76
0.85	0.80
0.58	0.61
0.66	0.58
0.74	0.68
0.79	0.83
0.50	0.61
0.86	0.77
0.72	0.74
0.42	0.37
0.71	0.75
0.77	0.83
0.74	0.80
0.82	0.81
0.78	0.82
0.69	0.67
0.79	0.82
0.85	0.86
0.76	0.81
0.78	0.88
0.75	0.80
0.68	0.64
0.52	0.58
0.56	0.61
0.62	0.46
0.39	0.35
0.66	0.67
0.76	0.78
0.76	0.79
0.85	0.76
0.74	0.56
0.67	0.69
0.51	0.46
0.71	0.66
0.78	0.80
0.74	0.76
0.72	0.71
0.62	0.77
0.72	0.77
0.78	0.73
0.71	0.72
0.64	0.62
0.70	0.65
0.83	0.73
0.81	0.78
0.85	0.80
0.82	0.82
0.76	0.79
0.55	0.46
0.65	0.60
0.77	0.76
0.58	0.52
0.72	0.60
0.85	0.86
0.75	0.74
0.74	0.77
0.85	0.87
0.88	0.88
0.49	0.58
0.96	0.84
0.48	0.51
0.75	0.78
0.90	0.73
0.68	0.93
0.69	0.69
0.62	0.68
0.72	0.71
0.40	1.01
0.83	0.82
0.78	0.73
0.64	0.61
0.99	0.86
0.52	0.65
0.52	0.55
0.60	0.68
0.69	0.46
0.66	0.69
0.55	0.42
0.98	0.61
0.84	0.83
0.81	0.83
0.62	0.53
0.71	0.74
0.98	0.77
0.90	0.87
0.89	0.85
0.89	0.84
0.70	0.59
0.52	0.63
0.88	0.84
0.90	0.87
0.85	0.85
0.92	0.83
0.63	0.67
0.82	0.74
0.80	0.83
0.75	0.70
0.81	0.77
0.77	0.72
0.82	0.82
0.86	0.79
0.89	0.85
0.60	0.59
0.79	0.66
0.76	0.65
0.67	0.68
0.66	0.69
0.59	0.79
0.74	0.55
0.63	0.65
0.74	0.63
0.55	0.66
0.67	0.65
0.45	0.54
0.61	0.67
0.59	0.51
0.62	0.41
0.83	0.77
0.63	0.70
0.75	0.49
0.77	0.71
0.72	0.71
0.86	0.85
0.69	0.78
0.81	0.76
0.65	0.63
0.51	0.63
0.83	0.87
0.81	0.80
0.69	0.75
0.83	0.80
0.79	0.81
0.85	0.85
0.59	0.59
0.73	0.54
0.76	0.57
0.78	0.74
0.84	0.78
0.80	0.60
0.72	0.52
0.79	0.77
0.84	0.73
0.77	0.75
0.83	0.86
0.83	0.76
0.82	0.70
0.64	0.60
0.82	0.77
0.85	0.81
0.72	0.77
0.85	0.89
0.73	0.74
0.84	0.76
0.82	0.74
0.87	0.86
0.84	0.78
0.82	0.77
0.79	0.71
0.75	0.48
0.90	1.01
0.80	0.74
0.87	0.67
0.70	0.69
0.62	0.59
0.87	0.86
0.63	0.69
0.75	0.74
0.76	0.72
0.80	0.81
0.81	0.82
0.75	0.78
0.75	0.70
0.82	0.81
0.86	0.85
0.88	0.88
0.79	0.76
0.86	0.90
0.84	0.85
0.81	0.75
0.82	0.85
0.90	0.90
0.90	0.78
0.68	0.72
0.70	0.66
0.82	0.79
0.74	0.70
0.76	0.75
0.72	0.76
0.75	0.70
0.61	0.42
0.90	0.82
0.77	0.68
0.74	0.67
0.75	0.73
0.84	0.78
0.69	0.68
0.70	0.75
0.75	0.87
0.71	0.78
0.79	0.81
0.76	0.75
0.78	0.76
0.79	0.63
0.73	0.82
0.78	0.80
0.77	0.81
0.78	0.81
0.72	0.77
0.69	0.74
0.69	0.69
0.78	0.82
0.80	0.81
0.47	0.82
0.78	0.88
0.42	0.62
0.80	0.89
0.69	0.81
0.85	0.85
0.46	0.84
0.73	0.83
0.55	0.77
0.82	0.81
0.67	0.75
0.59	0.68
0.82	0.88
0.91	0.88
0.85	0.84
0.73	0.74
0.86	0.82
0.78	0.84
0.79	0.83
0.75	0.78
0.85	0.80
0.88	0.88
0.72	0.86
0.78	0.84
0.83	0.84
0.87	0.82
0.84	0.82
0.81	0.66
0.71	0.65
0.86	0.62
0.78	0.70
0.69	0.53
0.77	0.70
0.83	0.60
0.79	0.79
0.77	0.72
0.71	0.66
0.85	0.74
0.85	0.64
0.72	0.57
0.83	0.76
0.92	0.99
0.70	0.77
0.87	0.83
0.82	0.80
0.63	0.68
0.84	0.84
0.71	0.76
0.84	0.75
0.83	0.81
0.82	0.79
0.83	0.77
0.74	0.77
0.89	0.98
0.68	0.75
0.81	0.88
0.74	0.70
0.73	0.80
0.63	0.64
0.81	0.80
0.80	0.87
0.71	0.77
0.88	0.83
0.81	0.77
0.83	0.81
0.84	0.68
0.84	0.82
0.75	0.75
0.83	0.87
0.76	0.83
