BLEURT-20_ref_A	BLEURT-20_ref_B
0.67	0.70
0.65	0.78
0.83	0.70
0.78	0.63
0.76	0.74
0.80	0.87
0.86	0.82
0.70	0.69
0.52	0.61
0.23	0.14
0.88	0.82
0.80	0.79
0.69	0.70
0.81	0.84
0.48	0.52
0.70	0.60
0.67	0.57
0.56	0.54
0.83	0.79
0.65	0.64
0.51	0.50
0.80	0.82
0.60	0.72
0.82	0.87
0.70	0.71
0.58	0.60
0.82	0.80
0.83	0.87
0.56	0.46
0.67	0.63
0.66	0.65
0.59	0.66
0.65	0.72
0.74	0.66
0.78	0.78
0.67	0.78
0.75	0.77
0.52	0.67
0.79	0.54
0.91	0.86
0.70	0.66
0.79	0.75
0.57	0.63
0.82	0.79
0.70	0.62
0.78	0.78
0.75	0.77
0.59	0.60
0.49	0.46
0.83	0.80
0.64	0.64
0.75	0.58
0.85	0.59
0.85	0.88
0.67	0.67
0.76	0.69
0.80	0.82
0.69	0.55
0.64	0.59
0.70	0.66
0.80	0.77
0.87	0.84
0.93	0.87
0.36	0.33
0.35	0.52
0.65	0.62
0.63	0.64
0.71	0.70
0.40	0.44
0.45	0.39
0.78	0.76
0.61	0.74
0.69	0.63
0.78	0.76
0.68	0.57
0.69	0.65
0.67	0.67
0.66	0.69
0.71	0.75
0.82	0.81
0.71	0.76
0.53	0.68
0.59	0.60
0.70	0.82
0.58	0.64
0.74	0.80
0.88	0.87
0.70	0.75
0.67	0.69
0.94	0.98
0.83	0.84
0.54	0.54
0.50	0.66
0.81	0.84
0.80	0.85
0.71	0.80
0.61	0.62
0.83	0.75
0.70	0.78
0.75	0.79
0.75	0.84
0.79	0.72
0.79	0.73
0.84	0.79
0.57	0.41
0.78	0.70
0.72	0.72
0.70	0.81
0.78	0.83
0.72	0.65
0.67	0.68
0.78	0.70
0.40	0.43
0.73	0.64
0.66	0.61
0.79	0.77
0.63	0.64
0.63	0.60
0.65	0.72
0.57	0.60
0.63	0.68
0.81	0.78
0.77	0.84
0.72	0.78
0.75	0.77
0.79	0.89
0.69	0.73
0.76	0.71
0.61	0.77
0.86	0.94
0.63	0.67
0.72	0.75
0.63	0.67
0.78	0.82
0.61	0.67
0.89	0.89
0.78	0.79
0.89	0.84
0.75	0.76
0.70	0.83
0.81	0.81
0.81	0.85
0.70	0.86
0.85	0.86
0.60	0.59
0.75	0.74
0.70	0.64
0.89	0.90
0.84	0.75
0.56	0.49
0.67	0.61
0.68	0.70
0.86	0.77
0.72	0.64
0.71	0.73
0.63	0.54
0.80	0.76
0.59	0.53
0.90	0.84
0.76	0.71
0.66	0.39
0.94	0.91
0.89	0.71
0.48	0.40
0.87	0.80
0.83	0.81
0.54	0.43
0.29	0.30
0.69	0.74
0.85	0.88
0.71	0.79
0.66	0.73
0.78	0.90
0.67	0.78
0.84	0.84
0.51	0.57
0.86	0.88
0.67	0.62
0.76	0.79
0.79	0.73
0.69	0.75
0.66	0.70
0.88	0.80
0.83	0.82
0.82	0.81
0.79	0.71
0.83	0.75
0.82	0.75
0.82	0.78
0.69	0.70
0.77	0.73
0.83	0.87
0.43	0.49
0.76	0.80
0.69	0.73
0.72	0.81
0.49	0.54
0.68	0.71
0.73	0.82
0.67	0.71
0.77	0.77
0.71	0.72
0.48	0.56
0.80	0.72
0.37	0.32
0.43	0.42
0.27	0.31
0.62	0.48
0.55	0.42
0.64	0.65
0.66	0.57
0.37	0.33
0.41	0.63
0.50	0.47
0.49	0.48
0.54	0.44
0.50	0.38
0.47	0.54
0.58	0.56
0.43	0.44
0.39	0.37
0.54	0.51
0.35	0.47
0.51	0.62
0.51	0.50
0.26	0.36
0.43	0.43
0.58	0.66
0.60	0.67
0.74	0.78
0.87	0.83
0.79	0.85
0.82	0.78
0.85	0.80
0.58	0.77
0.59	0.55
0.89	0.97
0.86	0.76
0.63	0.88
0.76	0.89
0.49	0.47
0.80	0.70
0.90	0.83
0.70	0.71
0.72	0.72
0.77	0.72
0.83	0.83
0.68	0.59
0.96	0.96
0.85	0.84
0.83	0.81
0.76	0.78
0.52	0.60
0.43	0.42
0.58	0.50
0.29	0.31
0.52	0.46
0.48	0.53
0.49	0.50
0.68	0.53
0.39	0.36
0.65	0.59
0.40	0.32
0.47	0.57
0.38	0.42
0.57	0.55
0.50	0.46
0.64	0.49
0.68	0.57
0.69	0.60
0.66	0.65
0.77	0.80
0.60	0.56
0.64	0.57
0.56	0.60
0.51	0.66
0.71	0.64
0.72	0.65
0.74	0.63
0.46	0.32
0.77	0.65
0.57	0.51
0.43	0.46
0.84	0.82
0.85	0.79
0.74	0.83
0.82	0.78
0.78	0.68
0.84	0.78
0.66	0.64
0.73	0.70
0.50	0.56
0.50	0.51
0.53	0.57
0.79	0.78
0.71	0.75
0.80	0.83
0.81	0.78
0.81	0.83
0.56	0.51
0.56	0.70
0.63	0.88
0.51	0.60
0.76	0.75
0.63	0.70
1.01	0.94
0.86	0.82
0.90	0.89
0.87	0.80
0.62	0.70
0.74	0.66
0.87	0.85
0.87	0.90
0.95	0.91
0.84	0.90
0.85	0.85
0.72	0.66
0.83	0.80
0.54	0.55
0.73	0.71
0.90	0.88
0.64	0.60
0.92	0.90
0.84	0.87
0.72	0.77
0.33	0.33
0.74	0.68
0.66	0.68
0.79	0.75
0.78	0.57
0.89	0.78
0.49	0.50
0.70	0.70
0.69	0.67
0.76	0.80
0.52	0.50
0.74	0.66
0.80	0.77
0.71	0.57
0.80	0.71
0.65	0.65
0.61	0.55
0.55	0.58
0.70	0.68
0.89	0.71
0.84	0.82
0.71	0.67
0.80	0.72
0.67	0.65
0.70	0.60
0.81	0.76
0.83	0.83
0.81	0.82
0.73	0.73
0.73	0.78
0.50	0.46
0.78	0.80
0.73	0.75
0.94	0.99
0.76	0.71
0.79	0.78
0.48	0.50
0.65	0.67
0.75	0.74
0.84	0.80
0.81	0.68
0.82	0.81
0.79	0.82
0.77	0.77
0.90	0.88
0.45	0.69
0.66	0.68
0.67	0.65
0.67	0.64
0.81	0.80
0.64	0.62
0.62	0.51
0.81	0.79
0.72	0.72
0.84	0.84
0.61	0.61
0.82	0.79
0.59	0.82
0.80	0.77
0.71	0.73
0.71	0.54
0.67	0.60
0.48	0.48
0.69	0.73
0.63	0.51
0.67	0.70
0.45	0.43
0.54	0.45
0.78	0.79
0.77	0.78
0.79	0.73
0.48	0.52
0.42	0.39
0.62	0.68
0.55	0.58
0.55	0.50
0.52	0.44
0.57	0.51
0.42	0.42
0.67	0.62
0.55	0.44
0.55	0.49
0.58	0.55
0.68	0.48
0.69	0.67
0.64	0.83
0.79	0.84
0.69	0.72
0.77	0.74
0.79	0.84
0.77	0.79
0.70	0.80
0.79	0.79
0.77	0.84
0.67	0.74
0.62	0.64
0.66	0.59
0.61	0.73
0.82	0.81
0.39	0.42
0.52	0.61
0.53	0.43
0.84	0.93
0.63	0.78
0.47	0.44
0.80	0.80
0.66	0.71
0.75	0.80
0.72	0.68
0.81	0.82
0.79	0.80
0.66	0.65
0.46	0.42
0.63	0.80
0.70	0.74
0.52	0.55
0.68	0.76
0.70	0.77
0.89	0.85
0.63	0.73
0.73	0.81
0.54	0.67
0.73	0.74
0.75	0.81
0.46	0.53
0.75	0.81
0.73	0.72
0.68	0.75
0.76	0.83
0.71	0.70
0.63	0.69
0.78	0.79
0.61	0.66
0.80	0.77
0.69	0.67
0.84	0.82
0.62	0.63
0.58	0.51
0.74	0.67
0.76	0.81
0.49	0.61
0.84	0.74
0.71	0.71
0.32	0.31
0.68	0.78
0.70	0.72
0.67	0.69
0.66	0.67
0.70	0.80
0.70	0.68
0.78	0.80
0.80	0.80
0.78	0.81
0.74	0.86
0.59	0.64
0.71	0.71
0.51	0.53
0.56	0.61
0.54	0.42
0.40	0.39
0.54	0.52
0.74	0.74
0.57	0.54
0.80	0.77
0.65	0.53
0.67	0.69
0.54	0.50
0.74	0.65
0.63	0.58
0.66	0.74
0.52	0.51
0.61	0.77
0.72	0.78
0.87	0.69
0.72	0.73
0.66	0.66
0.69	0.64
0.80	0.72
0.68	0.70
0.85	0.81
0.83	0.82
0.75	0.75
0.59	0.50
0.72	0.67
0.77	0.73
0.60	0.57
0.71	0.59
0.86	0.87
0.57	0.54
0.68	0.75
0.85	0.87
0.87	0.90
0.39	0.50
0.96	0.84
0.42	0.47
0.75	0.78
0.80	0.68
0.88	0.69
0.70	0.71
0.57	0.66
0.69	0.74
0.38	0.51
0.81	0.82
0.68	0.61
0.61	0.56
0.64	0.76
0.45	0.55
0.61	0.60
0.53	0.58
0.36	0.34
0.63	0.69
0.63	0.49
0.70	0.42
0.84	0.83
0.80	0.82
0.62	0.50
0.50	0.54
0.90	0.77
0.87	0.83
0.89	0.86
0.86	0.82
0.76	0.69
0.78	0.64
0.71	0.72
0.90	0.85
0.85	0.87
0.85	0.80
0.62	0.58
0.62	0.54
0.74	0.74
0.64	0.60
0.78	0.75
0.70	0.62
0.81	0.80
0.79	0.76
0.87	0.82
0.65	0.61
0.78	0.75
0.72	0.56
0.68	0.68
0.65	0.68
0.59	0.79
0.61	0.52
0.55	0.53
0.81	0.70
0.58	0.68
0.68	0.68
0.46	0.53
0.77	0.69
0.55	0.45
0.48	0.33
0.82	0.76
0.60	0.65
0.69	0.47
0.52	0.56
0.67	0.64
0.77	0.83
0.67	0.80
0.69	0.70
0.37	0.38
0.51	0.68
0.76	0.87
0.53	0.68
0.53	0.55
0.67	0.63
0.65	0.71
0.82	0.83
0.58	0.54
0.73	0.54
0.72	0.52
0.73	0.72
0.77	0.70
0.78	0.60
0.75	0.47
0.76	0.77
0.83	0.72
0.61	0.59
0.85	0.86
0.82	0.74
0.82	0.69
0.56	0.49
0.82	0.79
0.86	0.82
0.72	0.77
0.85	0.87
0.75	0.77
0.82	0.75
0.83	0.82
0.87	0.86
0.81	0.75
0.80	0.74
0.79	0.71
0.77	0.50
0.80	0.81
0.74	0.69
0.82	0.66
0.60	0.59
0.68	0.68
0.82	0.81
0.41	0.39
0.66	0.65
0.64	0.58
0.79	0.76
0.77	0.77
0.74	0.76
0.67	0.65
0.81	0.79
0.82	0.82
0.84	0.86
0.72	0.64
0.84	0.86
0.84	0.84
0.68	0.62
0.80	0.79
0.88	0.87
0.89	0.77
0.71	0.69
0.63	0.58
0.88	0.83
0.73	0.69
0.74	0.69
0.67	0.70
0.76	0.70
0.50	0.41
0.84	0.74
0.76	0.68
0.77	0.69
0.71	0.74
0.83	0.78
0.82	0.68
0.65	0.72
0.72	0.78
0.69	0.75
0.79	0.81
0.54	0.50
0.59	0.70
0.66	0.56
0.61	0.68
0.80	0.83
0.75	0.73
0.70	0.79
0.74	0.79
0.69	0.78
0.75	0.78
0.75	0.78
0.84	0.89
0.50	0.50
0.82	0.82
0.42	0.63
0.80	0.86
0.81	0.86
0.84	0.83
0.46	0.91
0.75	0.83
0.56	0.77
0.76	0.71
0.44	0.48
0.63	0.71
0.78	0.81
0.91	0.88
0.84	0.93
0.65	0.70
0.83	0.81
0.80	0.85
0.79	0.84
0.81	0.80
0.92	0.87
0.88	0.89
0.77	0.79
0.74	0.82
0.80	0.84
0.74	0.78
0.85	0.80
0.82	0.67
0.60	0.59
0.72	0.62
0.75	0.67
0.67	0.47
0.70	0.60
0.89	0.62
0.81	0.81
0.66	0.67
0.70	0.66
0.65	0.50
0.83	0.61
0.62	0.52
0.83	0.74
0.92	0.99
0.58	0.68
0.88	0.87
0.80	0.83
0.65	0.66
0.81	0.81
0.67	0.69
0.77	0.62
0.79	0.77
0.82	0.79
0.79	0.72
0.70	0.71
0.88	0.89
0.66	0.71
0.83	0.90
0.75	0.66
0.74	0.78
0.68	0.70
0.81	0.78
0.81	0.89
0.69	0.73
0.88	0.83
0.77	0.74
0.82	0.82
0.73	0.63
0.80	0.80
0.68	0.66
0.77	0.83
0.77	0.82
0.86	0.86
0.68	0.43
0.74	0.27
0.77	0.50
0.83	0.33
0.85	0.13
0.78	0.25
0.75	0.34
0.58	0.20
0.73	0.02
0.80	0.33
